Hart Sample;Sample condition;Average Sacromere lenght (um);
FFT of MH28_TopRight.png;Control;1,829635234;
FFT of MH28_BottomMiddle.png;Control;1,749890829;
FFT of MH28_MiddleRight.png;Control;1,707267037;
FFT of MH28_MiddleMiddle.png;Control;1,73781569;
FFT of MH28_BottomLeft.png;Control;1,716890013;
FFT of MH28_TopLeftt.png;Control;1,797082222;
FFT of MH28_MiddleLeft.png;Control;1,790382643;
FFT of MH28_TopMiddle.png;Control;1,721857975;
FFT of MH28_BottomRight.png;Control;1,704332874;
FFT of MH27_TopLeft.png;Stimulated;1,756968147;
FFT of MH27_TopMiddle.png;Stimulated;1,829745378;
FFT of MH27_MidddleRight.png;Stimulated;1,819802191;
FFT of MH27_BottomLeft.png;Stimulated;1,907292252;
FFT of MH27_MidddleLeft.png;Stimulated;1,778568257;
FFT of MH27_BottomMiddle.png;Stimulated;1,874626442;
FFT of MH27_TopRight.png;Stimulated;1,827447572;
FFT of MH27_MidddleMiddle.png;Stimulated;1,776090189;
FFT of MH27_BottomRight.png;Stimulated;1,744859877;
FFT of MH25_TopRight.png;Control;1,900164715;
FFT of MH25_BottomRight.png;Control;1,764577844;
FFT of MH25_BottomMiddle.png;Control;1,658685396;
FFT of MH25_MiddleMiddle.png;Control;1,639169352;
FFT of MH25_MiddleRight.png;Control;1,727343006;
FFT of MH25_TopLeft.png;Control;1,635367225;
FFT of MH25_TopMiddle.png;Control;1,636037536;
FFT of MH25_MiddleLeft.png;Control;1,648087099;
FFT of MH25_BottomLeft.png;Control;1,783794646;
FFT of MH26_TopMiddle.png;Stimulated;1,590716138;
FFT of MH26_BottomRight.png;Stimulated;1,654957164;
FFT of MH26_BottomLeft.png;Stimulated;1,598525327;
FFT of MH26_TopLeft.png;Stimulated;1,622619209;
FFT of MH26_TopRight.png;Stimulated;1,65913611;
FFT of MH26_BottomMiddle.png;Stimulated;1,772562566;
FFT of MH26_MiddleMiddle.png;Stimulated;1,626485032;
FFT of MH26_MiddleLeft.png;Stimulated;1,739937001;
FFT of MH26_MiddleRight.png;Stimulated;1,74196188;
FFT of MH8.1_Middleleft.png;Stimulated;1,896237363;
FFT of MH8.1_Topcenter.png;Stimulated;1,821066041;
FFT of MH8.1_Bottomleft.png;Stimulated;1,694269334;
FFT of MH8.1_Bottomright.png;Stimulated;1,776903543;
FFT of MH8.1_Bottommiddle.png;Stimulated;1,951394583;
FFT of MH8.1_Topright.png;Stimulated;1,880498541;
FFT of MH8.1_Topleft_.png;Stimulated;1,95831361;
FFT of MH8.1_Middleright.png;Stimulated;1,8977639;
FFT of MH8.1_Middlecenter.png;Stimulated;1,696766699;
FFT of MH8.2_Topmiddle_2.png  side 2;Stimulated;1,717258694;
FFT of MH8.2_Middleleft_2.png  side 2;Stimulated;1,864878762;
FFT of MH8.2_Middlelright_2.png  side 2;Stimulated;1,832425027;
FFT of MH8.2_Bottomleft_2.png  side 2;Stimulated;1,601630962;
FFT of MH8.2_Bottomright_2.png side 2 ;Stimulated;1,594587792;
FFT of MH8.2_Topleft.png_2  side 2;Stimulated;1,777177421;
FFT of MH8.2_Middlemiddle_2.png  side 2;Stimulated;1,747850285;
FFT of MH8.2_Bottommiddle_2.png  side 2;Stimulated;1,889329394;
FFT of MH8.2_Topright_2.png  side 2;Stimulated;1,883182894;
FFT of MH7_Middleleft.png;Control;1,874642926;
FFT of MH7_Topright.png;Control;1,626511181;
FFT of MH7_Bottomleft.png;Control;1,87632024;
FFT of MH7_Bottommiddle.png;Control;1,844128962;
FFT of MH7_Bottomright.png;Control;1,597550233;
FFT of MH7_middlemiddle.png;Control;1,595030506;
FFT of MH7_Topmiddle.png;Control;1,902414787;
FFT of MH7_Middleright.png;Control;1,653895079;
FFT of MH7_Topleft.png;Control;1,832549449;
FFT of MH21_MiddleMiddle.png;Control;1,612673334;
FFT of MH21_BottomMiddle.png;Control;1,600202069;
FFT of MH21_TopLeft.png;Control;1,84008995;
FFT of MH21_TopMiddle.png;Control;1,626666835;
FFT of MH21_BottomRight.png;Control;1,619198561;
FFT of MH21_BottomLeft.png;Control;1,597011666;
FFT of MH21_MiddleRight.png;Control;1,614381478;
FFT of MH21_TopRight.png;Control;1,62537317;
FFT of MH21_MiddleLeft.png;Control;1,607594756;
FFT of MH5_MiddleRight.png;Stimulated;1,607737723;
FFT of MH5_BottomRight.png;Stimulated;1,585445922;
FFT of MH5_BottomLeft.png;Stimulated;1,61549379;
FFT of MH5_BottomMiddle.png;Stimulated;1,605879005;
FFT of MH5_TopLeft.png;Stimulated;1,809574092;
FFT of MH5_TopRight.png;Stimulated;1,895346367;
FFT of MH5_TopMiddle.png;Stimulated;1,601909609;
FFT of MH5_MiddleLeft.png;Stimulated;1,905739932;
FFT of MH5_MiddleMiddle.png;Stimulated;1,749200891;
